rule,mark,self_buy_floor,flow_mult,max_entry_mult,trail_pct,tp_mult,hard_stop_pct,time_stop_s,loop1_triggers,loop1_wins,loop1_pnl_usd,loop1_pnl_ex_best_usd,loop1_hits_caught,loop1_misses_entered,loop1_worst_usd,loop1_median_usd,loop2_triggers,loop2_wins,loop2_pnl_usd,loop2_pnl_ex_best_usd,loop2_hits_caught,loop2_misses_entered,loop2_worst_usd,loop2_median_usd,min_ex_best,total_pnl,wr
hold,120,0.35,1.5,3,0.5,5,0.5,900,2,2,199.63,5.44,2,0,5.44,99.82,0,0,0.0,0.0,0,0,0.0,0.0,0.0,199.63,1.0
hold,120,0.35,1.5,3,0.5,5,0.5,1800,2,2,214.42,20.23,2,0,20.23,107.21,0,0,0.0,0.0,0,0,0.0,0.0,0.0,214.42,1.0
hold,120,0.35,1.5,5,0.4,0,0.3,900,3,3,335.57,149.69,3,0,5.44,144.25,4,2,-28.81,-47.47,1,3,-51.98,2.26,-47.47,306.76,0.7142857142857143
hold,120,0.35,1.5,5,0.4,0,0.3,1800,3,3,1039.8,164.48,3,0,20.23,144.25,4,3,18.02,-41.0,1,3,-51.98,5.49,-41.0,1057.82,0.8571428571428571
hold,120,0.35,1.5,5,0.4,0,0.5,900,3,3,335.57,149.69,3,0,5.44,144.25,4,2,-28.81,-47.47,1,3,-51.98,2.26,-47.47,306.76,0.7142857142857143
hold,120,0.35,1.5,5,0.4,0,0.5,1800,3,3,1039.8,164.48,3,0,20.23,144.25,4,3,18.02,-41.0,1,3,-51.98,5.49,-41.0,1057.82,0.8571428571428571
hold,120,0.35,1.5,5,0.4,5,0.3,900,3,3,387.93,193.74,3,0,5.44,188.3,4,2,-28.81,-47.47,1,3,-51.98,2.26,-47.47,359.12,0.7142857142857143
hold,120,0.35,1.5,5,0.4,5,0.3,1800,3,3,402.72,208.53,3,0,20.23,188.3,4,3,18.02,-41.0,1,3,-51.98,5.49,-41.0,420.74,0.8571428571428571
hold,120,0.35,1.5,5,0.4,5,0.5,900,3,3,387.93,193.74,3,0,5.44,188.3,4,2,-28.81,-47.47,1,3,-51.98,2.26,-47.47,359.12,0.7142857142857143
hold,120,0.35,1.5,5,0.4,5,0.5,1800,3,3,402.72,208.53,3,0,20.23,188.3,4,3,18.02,-41.0,1,3,-51.98,5.49,-41.0,420.74,0.8571428571428571
hold,120,0.35,1.5,5,0.5,0,0.3,900,3,3,308.52,122.64,3,0,5.44,117.2,4,2,-28.81,-47.47,1,3,-51.98,2.26,-47.47,279.71,0.7142857142857143
hold,120,0.35,1.5,5,0.5,0,0.3,1800,3,3,1012.75,137.43,3,0,20.23,117.2,4,3,18.02,-41.0,1,3,-51.98,5.49,-41.0,1030.77,0.8571428571428571
hold,120,0.35,1.5,5,0.5,0,0.5,900,3,3,308.52,122.64,3,0,5.44,117.2,4,2,-28.81,-47.47,1,3,-51.98,2.26,-47.47,279.71,0.7142857142857143
hold,120,0.35,1.5,5,0.5,0,0.5,1800,3,3,1012.75,137.43,3,0,20.23,117.2,4,3,18.02,-41.0,1,3,-51.98,5.49,-41.0,1030.77,0.8571428571428571
hold,120,0.35,1.5,5,0.5,5,0.3,900,3,3,387.93,193.74,3,0,5.44,188.3,4,2,-28.81,-47.47,1,3,-51.98,2.26,-47.47,359.12,0.7142857142857143
hold,120,0.35,1.5,5,0.5,5,0.3,1800,3,3,402.72,208.53,3,0,20.23,188.3,4,3,18.02,-41.0,1,3,-51.98,5.49,-41.0,420.74,0.8571428571428571
hold,120,0.35,1.5,5,0.5,5,0.5,900,3,3,387.93,193.74,3,0,5.44,188.3,4,2,-28.81,-47.47,1,3,-51.98,2.26,-47.47,359.12,0.7142857142857143
hold,120,0.35,1.5,5,0.5,5,0.5,1800,3,3,402.72,208.53,3,0,20.23,188.3,4,3,18.02,-41.0,1,3,-51.98,5.49,-41.0,420.74,0.8571428571428571
hold,180,0.2,1.5,0,0.4,0,0.3,900,14,9,536.78,394.73,12,2,-17.41,20.8,9,4,260.7,-149.76,3,6,-52.72,-5.37,-149.76,797.48,0.5652173913043478
hold,180,0.2,1.5,0,0.4,0,0.3,1800,14,9,1162.47,505.87,12,2,-17.41,20.34,9,4,248.74,-103.64,3,6,-52.72,-1.38,-103.64,1411.21,0.5652173913043478
hold,180,0.2,1.5,0,0.4,0,0.5,900,14,10,559.72,417.67,12,2,-26.38,20.8,9,4,260.7,-149.76,3,6,-52.72,-5.37,-149.76,820.4200000000001,0.6086956521739131
hold,180,0.2,1.5,0,0.4,0,0.5,1800,14,9,1154.06,497.46,12,2,-26.38,20.34,9,4,248.74,-103.64,3,6,-52.72,-1.38,-103.64,1402.8,0.5652173913043478
hold,180,0.2,1.5,0,0.4,5,0.3,900,14,9,607.23,407.18,12,2,-17.41,20.8,9,4,145.38,-149.76,3,6,-52.72,-5.37,-149.76,752.61,0.5652173913043478
hold,180,0.2,1.5,0,0.4,5,0.3,1800,14,9,744.58,533.39,12,2,-17.41,20.34,9,4,191.5,-103.64,3,6,-52.72,-1.38,-103.64,936.08,0.5652173913043478
hold,180,0.2,1.5,0,0.4,5,0.5,900,14,10,630.17,430.12,12,2,-26.38,20.8,9,4,145.38,-149.76,3,6,-52.72,-5.37,-149.76,775.55,0.6086956521739131
