dev,group,metric,n,median,p25,p75,min,max,note
retardmode,hits,dev_fee_lamports_med,4,20500.0,10750.0,32500.0,10000.0,40000.0,
retardmode,hits,dev_fee_first_tx,4,20500.0,10750.0,32500.0,10000.0,40000.0,
retardmode,hits,dev_first_sell_s,0,,,,,,
retardmode,hits,dev_sold_share_30m,4,0.0,0.0,0.0,0.0,0.0,
retardmode,hits,dev_sell_sol_30m,4,0.0,0.0,0.0,0.0,0.0,
retardmode,hits,dev_sold_share_60s,4,0.0,0.0,0.0,0.0,0.0,
retardmode,hits,dev_sold_share_300s,4,0.0,0.0,0.0,0.0,0.0,
retardmode,hits,grad_s,3,728.0,604.0,1232.5,480.0,1737.0,
retardmode,hits,peak10_mult,4,16.555787838584628,3.842567429438898,39.65821836834172,3.642489488264622,71.0259266713501,
retardmode,hits,peak10_ts_s,4,1465.0,1160.0,1692.5,830.0,1790.0,
retardmode,hits,sol_in_1m,4,36.05673233337272,15.823101540499998,57.63299418005908,10.190448838999998,67.293540043,
retardmode,hits,sol_in_5m,4,68.50465143849999,31.855926960999998,108.98471493982237,20.413350553,131.9213084192895,
retardmode,hits,n_wallets_1m,4,17.5,5.5,38.25,4.0,66.0,
retardmode,hits,n_wallets_5m,4,82.5,61.75,96.25,31.0,106.0,
retardmode,hits,n_launches,4,,,,,,measurable launches (with trades)
retardmode,hits,n_dev_sold_in_window,0,,,,,,launches with a dev sell in the window
retardmode,hits,n_dev_sold_by_60s,0,,,,,,
retardmode,hits,n_dev_sold_by_300s,0,,,,,,
retardmode,hits,n_non_sol_quote,1,,,,,,launches quoted in a token other than SOL
retardmode,hits,n_graduated_in_window,3,,,,,,curve completed inside the 30-min window
retardmode,hits,n_graduated_by_60s,0,,,,,,
retardmode,hits,n_dev_buy_in_create_slot,4,,,,,,dev_first_buy_s == 0
retardmode,hits,launchpad:Pump.fun,4,,,,,,dev_tokens.launchpad_platform
retardmode,misses,dev_supply_share,15,0.096583719241621,0.034408670448192,0.19851947665491498,0.034165003950986,0.424947838829844,
retardmode,misses,dev_first_buy_sol,15,2.9691874540000005,0.9953703764999999,9.717129709871323,0.9885690640000001,23.65015478887841,
retardmode,misses,dev_same_slot_buyers,15,2.0,0.5,3.0,0.0,5.0,
retardmode,misses,dev_fee_lamports_med,15,9079.0,7000.0,125000.0,4000.0,645000.0,
retardmode,misses,dev_fee_first_tx,15,11000.0,10000.0,30000.0,8500.0,645000.0,
retardmode,misses,dev_first_sell_s,12,7.5,6.0,78.75,5.0,124.0,
retardmode,misses,dev_sold_share_30m,15,0.8945312499999986,0.49999999999999745,1.0,0.0,1.0,
retardmode,misses,dev_sell_sol_30m,15,4.5314419489999995,1.199830374,16.5750082855,0.0,61.012755147054605,
retardmode,misses,dev_sold_share_60s,15,0.49999999999999484,0.0,0.8292663239188188,0.0,1.0,
retardmode,misses,dev_sold_share_300s,15,0.8945312499999986,0.49999999999999745,1.0,0.0,1.0,
retardmode,misses,grad_s,1,706.0,706.0,706.0,706.0,706.0,
retardmode,misses,peak10_mult,15,2.0287449106673385,1.328245431648275,3.245196345676665,1.046336715703602,11.565368475210127,
retardmode,misses,peak10_ts_s,15,50.0,0.0,195.0,0.0,1040.0,
retardmode,misses,sol_in_1m,15,46.35215296297196,13.2450954255,65.571892889,2.908068604,152.72638453030083,
retardmode,misses,sol_in_5m,15,49.12560263703248,24.319941054000004,100.24560140250001,2.908068604,372.88325188682074,
retardmode,misses,n_wallets_1m,15,41.0,19.5,74.0,4.0,155.0,
retardmode,misses,n_wallets_5m,15,58.0,33.0,134.5,4.0,365.0,
retardmode,misses,n_launches,15,,,,,,measurable launches (with trades)
retardmode,misses,n_dev_sold_in_window,12,,,,,,launches with a dev sell in the window
retardmode,misses,n_dev_sold_by_60s,8,,,,,,
retardmode,misses,n_dev_sold_by_300s,12,,,,,,
retardmode,misses,n_non_sol_quote,3,,,,,,launches quoted in a token other than SOL
retardmode,misses,n_graduated_in_window,1,,,,,,curve completed inside the 30-min window
