mark,self_buy_floor,trail_pct,tp_mult,hard_stop_pct,time_stop_s,triggers,wins,pnl_usd,avg_usd,median_usd,worst_usd,hits_caught,hits_total,misses_entered,pnl_ex_best_usd
90,0.35,0.4,0,0.5,900,10,6,509.16,50.92,18.87,-29.07,9,18,1,230.26
90,0.35,0.4,0,0.5,1800,10,6,1322.11,132.21,22.32,-29.07,9,18,1,189.99
90,0.35,0.4,3,0.4,900,10,6,322.09,32.21,18.87,-29.07,9,18,1,220.76
90,0.35,0.4,3,0.4,1800,10,6,317.0,31.7,22.32,-29.07,9,18,1,215.67
90,0.35,0.4,3,0.5,900,10,6,318.02,31.8,18.87,-29.07,9,18,1,216.69
90,0.35,0.4,3,0.5,1800,10,6,312.93,31.29,22.32,-29.07,9,18,1,211.6
90,0.35,0.4,5,0.4,900,10,6,523.82,52.38,18.87,-29.07,9,18,1,307.77
90,0.35,0.4,5,0.4,1800,10,6,483.55,48.36,22.32,-29.07,9,18,1,267.5
90,0.35,0.4,5,0.5,900,10,6,519.75,51.98,18.87,-29.07,9,18,1,303.7
90,0.35,0.4,5,0.5,1800,10,6,479.48,47.95,22.32,-29.07,9,18,1,263.43
90,0.35,0.5,0,0.4,900,10,7,507.86,50.79,19.92,-29.07,9,18,1,228.96
90,0.35,0.5,0,0.4,1800,10,6,1320.1,132.01,17.84,-29.07,9,18,1,187.98
90,0.35,0.5,0,0.5,900,10,7,503.79,50.38,19.92,-29.07,9,18,1,224.89
90,0.35,0.5,0,0.5,1800,10,6,1316.03,131.6,17.84,-29.07,9,18,1,183.91
90,0.35,0.5,3,0.4,900,10,7,343.35,34.33,19.92,-29.07,9,18,1,242.02
90,0.35,0.5,3,0.4,1800,10,6,314.45,31.44,17.84,-29.07,9,18,1,213.12
90,0.35,0.5,3,0.5,900,10,7,339.28,33.93,19.92,-29.07,9,18,1,237.95
90,0.35,0.5,3,0.5,1800,10,6,310.38,31.04,17.84,-29.07,9,18,1,209.05
90,0.35,0.5,5,0.4,900,10,7,545.08,54.51,19.92,-29.07,9,18,1,329.03
90,0.35,0.5,5,0.4,1800,10,6,504.1,50.41,17.84,-29.07,9,18,1,288.05
90,0.35,0.5,5,0.5,900,10,7,541.01,54.1,19.92,-29.07,9,18,1,324.96
90,0.35,0.5,5,0.5,1800,10,6,500.03,50.0,17.84,-29.07,9,18,1,283.98
90,0.5,0.3,0,0.4,900,8,4,185.43,23.18,-0.02,-29.07,7,18,1,11.31
90,0.5,0.3,0,0.4,1800,8,4,174.46,21.81,-0.02,-29.07,7,18,1,0.34
90,0.5,0.3,0,0.5,900,8,4,181.36,22.67,-0.02,-29.07,7,18,1,7.24
90,0.5,0.3,0,0.5,1800,8,4,170.39,21.3,-0.02,-29.07,7,18,1,-3.73
90,0.5,0.3,3,0.4,900,8,4,108.11,13.51,-0.02,-29.07,7,18,1,11.31
