dev,mark,column,hits_n,hits_med,hits_p25,hits_p75,miss_n,miss_med,miss_p25,miss_p75
jester,1m,n_buys_1m,7,51.0,33.5,99.5,20,56.0,35.25,88.25
jester,1m,n_wallets_1m,7,50.0,25.5,83.0,20,44.0,28.5,80.25
jester,1m,member_buy_sol_1m,7,0.0,0.0,0.0,20,0.0,0.0,0.0
jester,1m,outside_buy_sol_1m,7,28.28220907,17.425438528,57.0535793125,20,26.604065925964445,17.40227339825,43.58284900975001
jester,1m,top10_share_1m,7,0.8106813029872088,0.6331950073772137,0.9163102035013297,20,0.9485603552557693,0.7236070441253515,1.0
jester,1m,n_net_long_1m,7,27.0,16.5,53.0,20,14.5,9.0,32.5
jester,1m,mult_30s,7,2.398059102942785,1.5030627402905838,2.4084225130261476,20,1.5647691188250579,1.396378428965053,1.8665136370607367
jester,1m,mult_60s,7,2.5637099241414334,1.8827247431093233,3.352109112199998,20,1.476215548400078,1.1610501481325646,2.136599089020876
jester,1m,dev_sold_by_60s (share true),7,0.5714285714285714,,,20,0.7,,
jester,1m,member_buy_by_1m (share true),7,0.14285714285714285,,,20,0.1,,
jester,5m,dev_sold_share_120s,7,0.7672209265919673,0.20446554191992386,1.0,19,0.85,0.2999999999999955,1.0
jester,5m,dev_sold_share_300s,7,0.7672209265919673,0.20446554191992386,1.0,19,1.0,0.6749999999999955,1.0
jester,5m,sol_in_5m,7,98.244138459,47.36952257649999,172.23669993679016,20,52.413800269999996,37.608647690249995,95.6812146217356
jester,5m,sol_out_5m,7,38.197079772,16.240814550499998,83.29956533210512,20,43.2666139665,27.914041345750004,72.62702051695103
jester,5m,net_sol_5m,7,39.031711471999984,21.105544941,57.82608853710187,20,3.578559619111683,1.622827406838418,25.921622951535536
jester,5m,n_buys_5m,7,83.0,53.5,215.5,20,90.5,46.5,151.5
jester,5m,n_wallets_5m,7,69.0,42.0,157.5,20,70.5,38.75,113.25
jester,5m,member_buy_sol_5m,7,0.0,0.0,0.46635471450000004,20,0.0,0.0,0.0
jester,5m,member_buyers_5m,7,0.0,0.0,0.5,20,0.0,0.0,0.0
jester,5m,outside_buy_sol_5m,7,42.963590677999996,27.429688786,135.8836742204887,20,41.008273536000004,25.235897330249998,77.84742157124192
jester,5m,top10_share_5m,7,0.7764808623198692,0.41402166934918794,1.0,20,1.0,0.9137348923702551,1.0
jester,5m,n_net_long_5m,7,31.0,9.0,82.0,20,9.0,6.75,22.5
jester,5m,mult_120s,7,3.408408797118189,1.7748331276730909,3.8782242878895605,20,1.5516370944970082,1.135722681212624,1.887944993240524
jester,5m,mult_300s,7,3.5457117275822236,2.4055185115359494,4.8626910271859725,20,1.2717051886049795,1.015529583140221,2.40179590128577
jester,5m,dev_sold_by_120s (share true),7,0.7142857142857143,,,20,0.7,,
jester,5m,dev_sold_by_300s (share true),7,0.7142857142857143,,,20,0.75,,
jester,5m,member_buy_by_5m (share true),7,0.2857142857142857,,,20,0.15,,
mitch,1m,dev_supply_share,1,0.7923069,0.7923069,0.7923069,4,0.49781499051233347,0.35575401069518653,0.5979931365820175
mitch,1m,dev_first_buy_sol,1,84.682345621,84.682345621,84.682345621,4,26.501231920000002,16.50123192,40.00123192
mitch,1m,dev_same_slot_buyers,1,1.0,1.0,1.0,4,0.0,0.0,0.0
mitch,1m,dev_fee_first_tx,1,30000.0,30000.0,30000.0,4,114471.0,71250.0,317540.0
mitch,1m,dev_fee_med_60s,1,30000.0,30000.0,30000.0,4,114471.0,71250.0,317540.0
mitch,1m,dev_fee_lamports_med,1,30000.0,30000.0,30000.0,4,114471.0,71250.0,317540.0
mitch,1m,dev_sold_share_60s,1,0.0,0.0,0.0,4,0.0,0.0,0.0
mitch,1m,sol_in_1m,1,170.01265299599999,170.01265299599999,170.01265299599999,4,64.741060583,33.021220717000006,90.3285663905
mitch,1m,sol_out_1m,1,0.0,0.0,0.0,4,3.2809217774999997,1.5221249992499999,5.32197540625
mitch,1m,net_sol_1m,1,170.01265299599999,170.01265299599999,170.01265299599999,4,61.4601388055,31.499095717750002,85.00659098425
mitch,1m,n_buys_1m,1,4.0,4.0,4.0,4,16.0,10.75,22.25
mitch,1m,n_wallets_1m,1,4.0,4.0,4.0,4,15.0,9.25,22.25
mitch,1m,member_buy_sol_1m,1,0.0,0.0,0.0,4,0.0,0.0,0.0
mitch,1m,outside_buy_sol_1m,1,85.33030737499999,85.33030737499999,85.33030737499999,4,22.239828662999997,16.519988796999996,34.3273344705
mitch,1m,top10_share_1m,1,1.0,1.0,1.0,4,0.9805059977366833,0.9437321970981031,1.0
mitch,1m,n_net_long_1m,1,4.0,4.0,4.0,4,13.5,7.75,21.25
mitch,1m,mult_30s,1,1.590676274590961,1.590676274590961,1.590676274590961,4,3.2454445540597474,1.739560254792994,4.930601850725148
mitch,1m,mult_60s,1,1.590676274590961,1.590676274590961,1.590676274590961,4,3.7843714292871313,2.7034544068942568,4.930601850725148
mitch,1m,dev_sold_by_60s (share true),1,0.0,,,4,0.0,,
mitch,1m,member_buy_by_1m (share true),1,0.0,,,4,0.0,,
